case,subcase_id,subcase,method,GP_method,RMISE,coverage,CI_width,rmw2,rmw2_emp,n_expected,n_read,fit_fail,pred_fail,CI_fail,OOM,Timeout,unknown_missing,mean_time_total,mean_time_fit,max_time_fit,oracle_RMISE,rel_RMISE,rel_rmw2_emp_bound
2re,4,"d=500, n_i=2",bayesFPCA-Oracle,FPC,2.2164486199525073,0.84582,2.014984305720295,0.46711144755841844,0.19563960158628635,2,2,0,0,0,0,0,0,1.313475,1.1399583333333334,1.2093500000000001,1.376061895590627,1.6107186944531833,2.387611934245328
2re,4,"d=500, n_i=2",bayesFPCA-PVE95-L15,FPC,3.1709546423740376,0.9417599999999999,4.539537237445225,0.7854182841024908,0.19563960158628635,2,2,0,0,0,0,0,0,22.833008333333332,22.67089166666667,24.576166666666666,1.376061895590627,2.3043691948268177,4.014618092319536
2re,4,"d=500, n_i=2",bayesFPCA-PVE99-L15,FPC,3.1709546423740376,0.9417599999999999,4.539537237445225,0.7854182841024908,0.19563960158628635,2,2,0,0,0,0,0,0,22.643708333333336,22.480758333333334,24.5852,1.376061895590627,2.3043691948268177,4.014618092319536
2re,5,"d=500, n_i=10",AdaStruMM,FPC,0.16500818257169095,0.94,0.1868701144485742,0.16285421741288675,0.19135642645411963,2,2,0,0,0,0,0,0,4.7700249999999995,0.17758333333333337,0.1987166666666667,0.16221838754105475,1.017197773155834,0.8510517280794503
2re,5,"d=500, n_i=10",Di-95,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,0.16221838754105475,NA,NA
2re,5,"d=500, n_i=10",Di-99,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,0.16221838754105475,NA,NA
2re,5,"d=500, n_i=10",Di-Oracle,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,0.16221838754105475,NA,NA
2re,5,"d=500, n_i=10",FACE-95,FPC,0.705357545210057,0.9898199999999999,1.3981895500604176,0.35496134232795723,0.19135642645411963,2,2,0,0,0,0,0,0,0.598125,0.25424166666666664,0.2803833333333333,0.16221838754105475,4.3481972413980685,1.8549747657054212
2re,5,"d=500, n_i=10",FACE-99,FPC,0.705357545210057,0.9898199999999999,1.3981895500604176,0.56105259889735,0.19135642645411963,2,2,0,0,0,0,0,0,0.6347833333333333,0.2804916666666667,0.28075,0.16221838754105475,4.3481972413980685,2.9319767791120945
2re,5,"d=500, n_i=10",Goldsmith-95,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,0.16221838754105475,NA,NA
2re,5,"d=500, n_i=10",Goldsmith-99,NA,NA,NA,NA,NA,NA,2,0,0,0,0,1,0,0,NA,NA,NA,0.16221838754105475,NA,NA
