case,subcase_id,method,n_trials,n_read,n_complete,n_oom,n_timeout,n_resource_fail,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,n_nonresource_incomplete,n_successful_fits,prop_complete,prop_resource_fail,mean_fit_time,median_fit_time,sd_fit_time,max_fit_time,max_to_median_fit_time,mean_total_time_observed,max_total_time_observed,mean_total_time_complete,max_total_time_complete,fit_cutoff_minutes,fit_time_exempt,decision_stage,decision,decision_reason
2re,10,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.7871833333333333,0.7630333333333332,0.1844030692381351,1.0001,1.3106897907474555,0.93853,1.1403333333333334,0.93853,1.1403333333333334,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,10,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.20521666666666669,0.21415,0.01748733668814223,0.21946666666666673,1.0248268347731344,0.29196,0.3083,0.29196,0.3083,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,10,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666965e-5,3.3333333333314856e-5,9.128709291750411e-6,3.333333333334447e-5,1.0000000000008884,0.06324666666666667,0.06928333333333334,0.06324666666666667,0.06928333333333334,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,10,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.07394333333333333,0.06906666666666667,0.00930230407539503,0.0904,1.308880308880309,0.41473,0.46260000000000007,0.41473,0.46260000000000007,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,10,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.7910233333333334,1.40095,3.600391334490214,9.05785,6.4655055498054885,2.890006666666667,9.205466666666666,2.890006666666667,9.205466666666666,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,AdaStruMM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.05817666666666667,0.04684999999999999,0.02024192088491384,0.08211666666666666,1.752757025969406,1.616696666666667,1.6901166666666667,1.616696666666667,1.6901166666666667,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,FACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.06642333333333335,0.06826666666666667,0.00423452411074071,0.06845000000000002,1.0026855468750002,0.22173333333333337,0.22895000000000004,0.22173333333333337,0.22895000000000004,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,HGAM-GS,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.2178266666666666,1.4202666666666668,0.3662951167888174,1.4796166666666666,1.041787927149831,1.377743333333333,1.6292166666666668,1.377743333333333,1.6292166666666668,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,Local-GAM,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.0615,0.06511666666666667,0.00602272317514631,0.06663333333333335,1.023291528026619,0.15656666666666666,0.16468333333333335,0.15656666666666666,0.16468333333333335,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,Oracle-GP,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2.666666666666965e-5,3.333333333334447e-5,9.128709291763928e-6,3.333333333334447e-5,1,0.07282000000000001,0.07490000000000001,0.07282000000000001,0.07490000000000001,30,TRUE,initial,include,All runs completed; method exempt from the fitting-time cutoff
2re,11,PACE,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0.22874666666666665,0.2011,0.05994589620834959,0.3357833333333333,1.6697331344273163,0.6414266666666667,0.7567333333333333,0.6414266666666667,0.7567333333333333,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
2re,11,bayesFPCA,5,5,5,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1.400623333333333,0.69365,1.5910812387859603,4.2131,6.073812441432999,1.4896233333333333,4.3017666666666665,1.4896233333333333,4.3017666666666665,30,FALSE,initial,include,All runs completed; mean fitting time below 24 minutes and no fitting time exceeded the cutoff
