case,subcase_id,method,n_expected,n_read,n_missing,n_oom,n_timeout,n_unknown_missing,n_sim_fail,n_fit_fail,n_pred_fail,n_gp_fail,n_k_fail,n_ci_fail,prop_oom,prop_timeout,prop_unknown_missing,prop_sim_fail,prop_fit_fail,prop_pred_fail,prop_gp_fail,prop_k_fail,prop_ci_fail,mean_time_total,mean_time_fit,max_time_total,max_time_fit,n_clusters,n_obs_per_cluster,subcase_label
sitar,14,Local-GAM,100,100,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.6687436666666668,0.3497376666666666,0.7345333333333315,0.3943333333333347,300,3,"d=300, n_i=3"
sitar,14,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,20.621254666666665,12.154234666666667,53.396449999999994,38.2461,300,3,"d=300, n_i=3"
sitar,14,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8330455000000003,0.07416200000000057,1.010433333333334,0.09281666666667358,300,3,"d=300, n_i=3"
sitar,14,SITAR,100,100,0,0,0,0,0,50,0,0,0,50,0,0,0,0,0.5,0,0,0,0.5,1.7970491666666668,1.5991083333333336,4.63458333333333,4.435166666666669,300,3,"d=300, n_i=3"
sitar,15,AdaStruMM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0493874999999995,0.4733684999999986,3.3449833333333325,0.6528166666666645,300,5,"d=300, n_i=5"
sitar,15,FACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4530783333333333,0.0963761666666666,0.5033166666666679,0.13478333333332557,300,5,"d=300, n_i=5"
sitar,15,HGAM-GS,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.489119666666667,3.708695,10.694950000000002,9.313650000000022,300,5,"d=300, n_i=5"
sitar,15,Local-GAM,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.452082666666666,0.14475833333333313,0.6588333333333334,0.18088333333333065,300,5,"d=300, n_i=5"
sitar,15,Oracle-SITAR,100,100,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,1,0,20.830209666666665,12.439127833333334,48.491933333333336,33.608200000000004,300,5,"d=300, n_i=5"
sitar,15,PACE,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0902138333333333,0.27980499999999986,1.3843499999999986,0.3188499999999995,300,5,"d=300, n_i=5"
sitar,15,SITAR,100,100,0,0,0,0,0,1,0,0,0,99,0,0,0,0,0.01,0,0,0,0.99,0.5953476666666668,0.35748033333333346,4.520116666666665,4.269066666666666,300,5,"d=300, n_i=5"
