case,quantity,metric,n_obs_per_cluster,n_clusters,comparison_method,comparison_estimate,adastrumm_estimate,numerator,denominator,numerator_estimate,denominator_estimate,value,oracle_estimate
3re,AdaStruMM CI width / oracle CI width,ci_width,5,500,Oracle,NA,0.5237035799327552,AdaStruMM CI width,oracle CI width,0.5237035799327552,0.5081665621334327,1.0305746559437,0.5081665621334327
3re,AdaStruMM CI width / oracle CI width,ci_width,10,50,Oracle,NA,0.29672503931171823,AdaStruMM CI width,oracle CI width,0.29672503931171823,0.24579787820960614,1.2071912152906525,0.24579787820960614
3re,AdaStruMM CI width / oracle CI width,ci_width,10,100,Oracle,NA,0.2680325459902616,AdaStruMM CI width,oracle CI width,0.2680325459902616,0.24662287708915884,1.0868113662195367,0.24662287708915884
3re,AdaStruMM CI width / oracle CI width,ci_width,10,200,Oracle,NA,0.25654505426509655,AdaStruMM CI width,oracle CI width,0.25654505426509655,0.2465086825154346,1.0407140699761501,0.2465086825154346
3re,AdaStruMM CI width / oracle CI width,ci_width,10,300,Oracle,NA,0.2527306512486843,AdaStruMM CI width,oracle CI width,0.2527306512486843,0.24634642075876179,1.0259156616534502,0.24634642075876179
3re,AdaStruMM CI width / oracle CI width,ci_width,10,400,Oracle,NA,0.25098055119823515,AdaStruMM CI width,oracle CI width,0.25098055119823515,0.24620512035069392,1.0193961475729632,0.24620512035069392
3re,AdaStruMM CI width / oracle CI width,ci_width,10,500,Oracle,NA,0.2491351661080079,AdaStruMM CI width,oracle CI width,0.2491351661080079,0.24604889417050063,1.0125433278125957,0.24604889417050063
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,50,bayesFPCA,1.4601923378832853,1.0668380080947923,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.4601923378832853,1.0668380080947923,1.3687104572614195,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,100,bayesFPCA,1.3294780014011949,0.7160835944243151,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.3294780014011949,0.7160835944243151,1.8565960898322342,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,200,FACE,1.1687843283454769,0.5116855074147364,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.1687843283454769,0.5116855074147364,2.2841849366629456,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,300,FACE,1.0582042792928954,0.39214532279976516,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.0582042792928954,0.39214532279976516,2.6985003205896434,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,400,FACE,1.0287988213627535,0.3607774925758713,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,1.0287988213627535,0.3607774925758713,2.8516158644414262,NA
3re,Next-best general-purpose RM2W / AdaStruMM RM2W,rmw2,2,500,FACE,0.9922888160727996,0.31538238711014743,minimum RM2W among non-AdaStruMM general-purpose methods,AdaStruMM RM2W,0.9922888160727996,0.31538238711014743,3.146303841394422,NA
